stopword,id,created_at,updated_at
begitu,56,"2021-09-17 01:51:50","2021-09-17 01:51:50"
begitukah,57,"2021-09-17 01:51:53","2021-09-17 01:51:53"
begitulah,58,"2021-09-17 01:51:58","2021-09-17 01:51:58"
begitupun,59,"2021-09-17 01:52:01","2021-09-17 01:52:01"
bekerja,60,"2021-09-17 01:52:03","2021-09-17 01:52:03"
elakang,61,"2021-09-17 01:52:05","2021-09-17 01:52:05"
belakangan,62,"2021-09-17 01:52:17","2021-09-17 01:52:17"
belum,63,"2021-09-17 01:52:22","2021-09-17 01:52:22"
belumlah,64,"2021-09-17 01:52:24","2021-09-17 01:52:24"
benar,65,"2021-09-17 01:52:27","2021-09-17 01:52:27"
benarkah,66,"2021-09-17 01:52:30","2021-09-17 01:52:30"
benarlah,67,"2021-09-17 01:52:37","2021-09-17 01:52:37"
berada,68,"2021-09-17 01:52:40","2021-09-17 01:52:40"
berakhir,69,"2021-09-17 01:52:43","2021-09-17 01:52:43"
berakhirlah,70,"2021-09-17 01:52:48","2021-09-17 01:52:48"
berakhirnya,71,"2021-09-17 01:52:56","2021-09-17 01:52:56"
berapa,72,"2021-09-17 01:53:00","2021-09-17 01:53:00"
berapakah,73,"2021-09-17 01:53:05","2021-09-17 01:53:05"
berapalah,74,"2021-09-17 01:53:09","2021-09-17 01:53:09"
berapapun,75,"2021-09-17 01:53:13","2021-09-17 01:53:13"
berarti,76,"2021-09-17 01:53:15","2021-09-17 01:53:15"
berawal,77,"2021-09-17 01:53:18","2021-09-17 01:53:18"
berbagi,78,"2021-09-17 01:53:21","2021-09-17 01:53:21"
berdatangan,79,"2021-09-17 01:53:27","2021-09-17 01:53:27"
beri,80,"2021-09-17 01:53:36","2021-09-17 01:53:36"
berikan,81,"2021-09-17 01:53:37","2021-09-17 01:53:37"
berikut,82,"2021-09-17 01:53:38","2021-09-17 01:53:38"
berikutnya,83,"2021-09-17 01:53:44","2021-09-17 01:53:44"
berjumlah,84,"2021-09-17 01:53:46","2021-09-17 01:53:46"
berkali-kali,85,"2021-09-17 01:53:49","2021-09-17 01:53:49"
berkata,86,"2021-09-17 01:53:52","2021-09-17 01:53:52"
berkehendak,87,"2021-09-17 01:53:56","2021-09-17 01:53:56"
berkeinginan,88,"2021-09-17 01:53:59","2021-09-17 01:53:59"
berkenaan,89,"2021-09-17 01:54:02","2021-09-17 01:54:02"
berlalu,90,"2021-09-17 01:54:05","2021-09-17 01:54:05"
berlangsung,91,"2021-09-17 01:54:08","2021-09-17 01:54:08"
berlebihan,92,"2021-09-17 01:54:14","2021-09-17 01:54:14"
bermacam,93,"2021-09-17 01:54:17","2021-09-17 01:54:17"
bersama-sama,94,"2021-09-17 01:54:24","2021-09-17 01:54:24"
bersiap,95,"2021-09-17 01:54:27","2021-09-17 01:54:27"
bersiap-siap,96,"2021-09-17 01:54:34","2021-09-17 01:54:34"
bertanya,97,"2021-09-17 01:54:36","2021-09-17 01:54:36"
bertanya-tanya,98,"2021-09-17 01:54:40","2021-09-17 01:54:40"
berturut,99,"2021-09-17 01:54:44","2021-09-17 01:54:44"
berturut-turut,100,"2021-09-17 01:54:48","2021-09-17 01:54:48"
bertutur,101,"2021-09-17 01:54:51","2021-09-17 01:54:51"
berujar,102,"2021-09-17 01:54:56","2021-09-17 01:54:56"
berupa,103,"2021-09-17 01:54:58","2021-09-17 01:54:58"
besar,104,"2021-09-17 01:55:00","2021-09-17 01:55:00"
betul,105,"2021-09-17 01:55:03","2021-09-17 01:55:03"
betulkah,106,"2021-09-17 01:55:27","2021-09-17 01:55:27"
biasa,107,"2021-09-17 01:55:34","2021-09-17 01:55:34"
biasanya,108,"2021-09-17 01:55:36","2021-09-17 01:55:36"
bila,109,"2021-09-17 01:55:38","2021-09-17 01:55:38"
bilakah,110,"2021-09-17 01:55:42","2021-09-17 01:55:42"
bisa,111,"2021-09-17 01:55:44","2021-09-17 01:55:44"
bisakah,112,"2021-09-17 01:55:47","2021-09-17 01:55:47"
boleh,113,"2021-09-17 01:55:49","2021-09-17 01:55:49"
bolehkah,114,"2021-09-17 01:55:54","2021-09-17 01:55:54"
bolehlah,115,"2021-09-17 01:55:58","2021-09-17 01:55:58"
buat,116,"2021-09-17 01:56:00","2021-09-17 01:56:00"
bukan,117,"2021-09-17 01:57:25","2021-09-17 01:57:25"
bukankah,118,"2021-09-17 01:57:29","2021-09-17 01:57:29"
bukanlah,119,"2021-09-17 01:57:34","2021-09-17 01:57:34"
bukannya,120,"2021-09-17 01:57:36","2021-09-17 01:57:36"
bulan,121,"2021-09-17 01:57:38","2021-09-17 01:57:38"
bung,122,"2021-09-17 01:57:40","2021-09-17 01:57:40"
cara,123,"2021-09-17 01:57:42","2021-09-17 01:57:42"
caranya,124,"2021-09-17 01:57:44","2021-09-17 01:57:44"
cukup,125,"2021-09-17 01:57:47","2021-09-17 01:57:47"
cukupkah,126,"2021-09-17 01:57:50","2021-09-17 01:57:50"
cukuplah,127,"2021-09-17 01:57:53","2021-09-17 01:57:53"
cuma,128,"2021-09-17 01:57:55","2021-09-17 01:57:55"
dahulu,129,"2021-09-17 01:57:57","2021-09-17 01:57:57"
dalam,130,"2021-09-17 01:57:58","2021-09-17 01:57:58"
dan,131,"2021-09-17 01:57:59","2021-09-17 01:57:59"
dapat,132,"2021-09-17 01:58:01","2021-09-17 01:58:01"
dari,133,"2021-09-17 01:58:02","2021-09-17 01:58:02"
daripada,134,"2021-09-17 01:58:05","2021-09-17 01:58:05"
datang,135,"2021-09-17 01:58:07","2021-09-17 01:58:07"
dekat,136,"2021-09-17 01:58:09","2021-09-17 01:58:09"
demi,137,"2021-09-17 01:58:10","2021-09-17 01:58:10"
demikian,138,"2021-09-17 01:58:13","2021-09-17 01:58:13"
demikianlah,139,"2021-09-17 01:58:16","2021-09-17 01:58:16"
dengan,140,"2021-09-17 01:58:18","2021-09-17 01:58:18"
depan,141,"2021-09-17 01:58:20","2021-09-17 01:58:20"
di,142,"2021-09-17 01:58:21","2021-09-17 01:58:21"
dia,143,"2021-09-17 01:58:22","2021-09-17 01:58:22"
diakhiri,144,"2021-09-17 01:58:26","2021-09-17 01:58:26"
diakhirinya,145,"2021-09-17 01:58:29","2021-09-17 01:58:29"
dialah,146,"2021-09-17 01:58:31","2021-09-17 01:58:31"
diantara,147,"2021-09-17 01:58:45","2021-09-17 01:58:45"
diantaranya,148,"2021-09-17 01:58:51","2021-09-17 01:58:51"
diberi,149,"2021-09-17 01:58:53","2021-09-17 01:58:53"
diberikan,150,"2021-09-17 01:58:55","2021-09-17 01:58:55"
diberikannya,151,"2021-09-17 01:58:58","2021-09-17 01:58:58"
dibuat,152,"2021-09-17 01:59:02","2021-09-17 01:59:02"
dibuatnya,153,"2021-09-17 01:59:09","2021-09-17 01:59:09"
didapat,154,"2021-09-17 01:59:12","2021-09-17 01:59:12"
didatangkan,155,"2021-09-17 01:59:14","2021-09-17 01:59:14"
digunakan,156,"2021-09-17 01:59:17","2021-09-17 01:59:17"
diibaratkan,157,"2021-09-17 01:59:21","2021-09-17 01:59:21"
diibaratkannya,158,"2021-09-17 01:59:32","2021-09-17 01:59:32"
diingat,159,"2021-09-17 01:59:34","2021-09-17 01:59:34"
diingatkan,160,"2021-09-17 01:59:40","2021-09-17 01:59:40"
diinginkan,161,"2021-09-17 01:59:44","2021-09-17 01:59:44"
dijawab,162,"2021-09-17 01:59:47","2021-09-17 01:59:47"
dijelaskan,163,"2021-09-17 01:59:49","2021-09-17 01:59:49"
dijelaskannya,164,"2021-09-17 02:00:05","2021-09-17 02:00:05"
dikerjakan,165,"2021-09-17 02:00:08","2021-09-17 02:00:08"
diketahui,166,"2021-09-17 02:00:12","2021-09-17 02:00:12"
diketahuinya,167,"2021-09-17 02:00:18","2021-09-17 02:00:18"
dikiranya,168,"2021-09-17 02:00:22","2021-09-17 02:00:22"
dilakukan,169,"2021-09-17 02:00:26","2021-09-17 02:00:26"
dilalui,170,"2021-09-17 02:00:28","2021-09-17 02:00:28"
dilihat,171,"2021-09-17 02:00:32","2021-09-17 02:00:32"
dimaksud,172,"2021-09-17 02:00:34","2021-09-17 02:00:34"
dimaksudkan,173,"2021-09-17 02:00:43","2021-09-17 02:00:43"
dimaksudkannya,174,"2021-09-17 02:00:48","2021-09-17 02:00:48"
dimaksudnya,175,"2021-09-17 02:01:21","2021-09-17 02:01:21"
diminta,176,"2021-09-17 02:01:26","2021-09-17 02:01:26"
dimintai,177,"2021-09-17 02:01:30","2021-09-17 02:01:30"
dimisalkan,178,"2021-09-17 02:01:35","2021-09-17 02:01:35"
dimulai,179,"2021-09-17 02:01:37","2021-09-17 02:01:37"
dimulailah,180,"2021-09-17 02:01:42","2021-09-17 02:01:42"
dimulainya,181,"2021-09-17 02:01:46","2021-09-17 02:01:46"
dimungkinkan,182,"2021-09-17 02:01:50","2021-09-17 02:01:50"
dini,183,"2021-09-17 02:01:53","2021-09-17 02:01:53"
dipastikan,184,"2021-09-17 02:01:55","2021-09-17 02:01:55"
diperbuat,185,"2021-09-17 02:01:58","2021-09-17 02:01:58"
diperbuatnya,186,"2021-09-17 02:02:01","2021-09-17 02:02:01"
dipergunakan,187,"2021-09-17 02:02:16","2021-09-17 02:02:16"
diperkirakan,188,"2021-09-17 02:02:26","2021-09-17 02:02:26"
diperlihatkan,189,"2021-09-17 02:02:31","2021-09-17 02:02:31"
diperlukan,190,"2021-09-17 02:02:35","2021-09-17 02:02:35"
diperlukannya,191,"2021-09-17 02:02:40","2021-09-17 02:02:40"
dipersoalkan,192,"2021-09-17 02:02:44","2021-09-17 02:02:44"
dipertanyakan,193,"2021-09-17 02:02:49","2021-09-17 02:02:49"
dipunyai,194,"2021-09-17 02:02:52","2021-09-17 02:02:52"
diri,195,"2021-09-17 02:02:55","2021-09-17 02:02:55"
dirinya,196,"2021-09-17 02:03:06","2021-09-17 02:03:06"
disampaikan,197,"2021-09-17 02:11:22","2021-09-17 02:11:22"
disebut,198,"2021-09-17 02:11:25","2021-09-17 02:11:25"
disebutkan,199,"2021-09-17 02:11:31","2021-09-17 02:11:31"
disebutkannya,200,"2021-09-17 02:11:34","2021-09-17 02:11:34"
disini,201,"2021-09-17 02:11:37","2021-09-17 02:11:37"
disinilah,202,"2021-09-17 02:11:40","2021-09-17 02:11:40"
ditambahkan,203,"2021-09-17 02:11:48","2021-09-17 02:11:48"
ditandaskan,204,"2021-09-17 02:11:52","2021-09-17 02:11:52"
ditanya,205,"2021-09-17 02:11:56","2021-09-17 02:11:56"
ditanyai,206,"2021-09-17 03:02:33","2021-09-17 03:02:33"
ditanyakan,207,"2021-09-17 03:02:39","2021-09-17 03:02:39"
ditegaskan,208,"2021-09-17 03:02:42","2021-09-17 03:02:42"
ditunjukan,209,"2021-09-17 03:02:58","2021-09-17 03:02:58"
ditunjuki,210,"2021-09-17 03:03:04","2021-09-17 03:03:04"
ditunjukkan,211,"2021-09-17 03:03:07","2021-09-17 03:03:07"
ditunjukkannya,212,"2021-09-17 03:03:11","2021-09-17 03:03:11"
ditunjuknya,213,"2021-09-17 03:03:18","2021-09-17 03:03:18"
dituturkan,214,"2021-09-17 03:03:23","2021-09-17 03:03:23"
dituturkannya,215,"2021-09-17 03:03:26","2021-09-17 03:03:26"
diucapkan,216,"2021-09-17 03:03:33","2021-09-17 03:03:33"
diucapkannya,217,"2021-09-17 03:03:36","2021-09-17 03:03:36"
diungkapkan,218,"2021-09-17 03:03:40","2021-09-17 03:03:40"
dong,219,"2021-09-17 03:03:42","2021-09-17 03:03:42"
dua,220,"2021-09-17 03:03:44","2021-09-17 03:03:44"
dulu,221,"2021-09-17 03:03:47","2021-09-17 03:03:47"
empat,222,"2021-09-17 03:03:49","2021-09-17 03:03:49"
engga,223,"2021-09-17 03:03:51","2021-09-17 03:03:51"
enggaknya,224,"2021-09-17 03:03:53","2021-09-17 03:03:53"
entah,225,"2021-09-17 03:03:55","2021-09-17 03:03:55"
entahlah,226,"2021-09-17 03:03:58","2021-09-17 03:03:58"
guna,227,"2021-09-17 03:03:59","2021-09-17 03:03:59"
gunakan,228,"2021-09-17 03:04:02","2021-09-17 03:04:02"
hal,229,"2021-09-17 03:04:05","2021-09-17 03:04:05"
hampir,230,"2021-09-17 03:04:07","2021-09-17 03:04:07"
hanya,231,"2021-09-17 03:04:10","2021-09-17 03:04:10"
hanyalah,232,"2021-09-17 03:04:13","2021-09-17 03:04:13"
hari,233,"2021-09-17 03:04:15","2021-09-17 03:04:15"
harus,234,"2021-09-17 03:04:17","2021-09-17 03:04:17"
haruslah,235,"2021-09-17 03:04:22","2021-09-17 03:04:22"
harusnya,236,"2021-09-17 03:04:26","2021-09-17 03:04:26"
hendak,237,"2021-09-17 03:04:33","2021-09-17 03:04:33"
hendaknya,238,"2021-09-17 03:04:36","2021-09-17 03:04:36"
hendaklah,239,"2021-09-17 03:04:40","2021-09-17 03:04:40"
hingga,240,"2021-09-17 03:04:42","2021-09-17 03:04:42"
ia,241,"2021-09-17 03:04:43","2021-09-17 03:04:43"
ialah,242,"2021-09-17 03:04:44","2021-09-17 03:04:44"
ibarat,243,"2021-09-17 03:04:49","2021-09-17 03:04:49"
ibaratkan,244,"2021-09-17 03:04:52","2021-09-17 03:04:52"
ibaratnya,245,"2021-09-17 03:04:56","2021-09-17 03:04:56"
ibu,246,"2021-09-17 03:04:57","2021-09-17 03:04:57"
ikut,247,"2021-09-17 03:04:59","2021-09-17 03:04:59"
ingat,248,"2021-09-17 03:05:01","2021-09-17 03:05:01"
ingat-ingat,249,"2021-09-17 03:05:05","2021-09-17 03:05:05"
ingin,250,"2021-09-17 03:05:06","2021-09-17 03:05:06"
inginkah,251,"2021-09-17 03:05:11","2021-09-17 03:05:11"
inginkan,252,"2021-09-17 03:05:14","2021-09-17 03:05:14"
ini,253,"2021-09-17 03:05:15","2021-09-17 03:05:15"
inikah,254,"2021-09-17 03:05:19","2021-09-17 03:05:19"
inilah,255,"2021-09-17 03:05:28","2021-09-17 03:05:28"
itu,256,"2021-09-17 03:05:30","2021-09-17 03:05:30"
itukah,257,"2021-09-17 03:06:01","2021-09-17 03:06:01"
itulah,258,"2021-09-17 03:06:03","2021-09-17 03:06:03"
jadi,259,"2021-09-17 03:06:04","2021-09-17 03:06:04"
jadilah,260,"2021-09-17 03:06:07","2021-09-17 03:06:07"
jadinya,261,"2021-09-17 03:06:12","2021-09-17 03:06:12"
jangan,262,"2021-09-17 03:06:15","2021-09-17 03:06:15"
jangankan,263,"2021-09-17 03:06:19","2021-09-17 03:06:19"
janganlah,264,"2021-09-17 03:06:23","2021-09-17 03:06:23"
jauh,265,"2021-09-17 03:06:25","2021-09-17 03:06:25"
jawab,266,"2021-09-17 03:06:27","2021-09-17 03:06:27"
jawaban,267,"2021-09-17 03:06:29","2021-09-17 03:06:29"
jawabnya,268,"2021-09-17 03:06:31","2021-09-17 03:06:31"
jelas,269,"2021-09-17 03:06:33","2021-09-17 03:06:33"
jelaskan,270,"2021-09-17 03:06:36","2021-09-17 03:06:36"
jelaslah,271,"2021-09-17 03:06:40","2021-09-17 03:06:40"
jelasnya,272,"2021-09-17 03:06:43","2021-09-17 03:06:43"
jika,273,"2021-09-17 03:06:47","2021-09-17 03:06:47"
jikalau,274,"2021-09-17 03:06:56","2021-09-17 03:06:56"
juga,275,"2021-09-17 03:06:58","2021-09-17 03:06:58"
jumlah,276,"2021-09-17 03:07:02","2021-09-17 03:07:02"
jumlahnya,277,"2021-09-17 03:07:05","2021-09-17 03:07:05"
justru,278,"2021-09-17 03:07:08","2021-09-17 03:07:08"
kala,279,"2021-09-17 03:07:17","2021-09-17 03:07:17"
kalau,280,"2021-09-17 03:07:19","2021-09-17 03:07:19"
kalaulah,281,"2021-09-17 03:07:22","2021-09-17 03:07:22"
kalaupun,282,"2021-09-17 03:07:26","2021-09-17 03:07:26"
kalian,283,"2021-09-17 03:07:28","2021-09-17 03:07:28"
kami,284,"2021-09-17 03:07:29","2021-09-17 03:07:29"
kamilah,285,"2021-09-17 03:07:31","2021-09-17 03:07:31"
kamu,286,"2021-09-17 03:07:33","2021-09-17 03:07:33"
kamulah,287,"2021-09-17 03:07:35","2021-09-17 03:07:35"
kan,288,"2021-09-17 03:07:37","2021-09-17 03:07:37"
kapan,289,"2021-09-17 03:07:38","2021-09-17 03:07:38"
kapankah,290,"2021-09-17 03:07:40","2021-09-17 03:07:40"
kapanpun,291,"2021-09-17 03:07:43","2021-09-17 03:07:43"
karena,292,"2021-09-17 03:07:45","2021-09-17 03:07:45"
karenanya,293,"2021-09-17 03:07:50","2021-09-17 03:07:50"
kasus,294,"2021-09-17 03:07:53","2021-09-17 03:07:53"
kata,295,"2021-09-17 03:07:55","2021-09-17 03:07:55"
katakan,296,"2021-09-17 03:07:57","2021-09-17 03:07:57"
katakanlah,297,"2021-09-17 03:08:00","2021-09-17 03:08:00"
katanya,298,"2021-09-17 03:08:03","2021-09-17 03:08:03"
ke,299,"2021-09-17 03:08:05","2021-09-17 03:08:05"
keadaaan,300,"2021-09-17 03:08:09","2021-09-17 03:08:09"
kebetulan,301,"2021-09-17 03:08:11","2021-09-17 03:08:11"
kecil,302,"2021-09-17 03:08:13","2021-09-17 03:08:13"
kedua,303,"2021-09-17 03:08:15","2021-09-17 03:08:15"
keduanya,304,"2021-09-17 03:08:19","2021-09-17 03:08:19"
keinginan,305,"2021-09-17 03:08:32","2021-09-17 03:08:32"
kelamaan,306,"2021-09-17 03:08:35","2021-09-17 03:08:35"
kelihatan,307,"2021-09-17 03:08:37","2021-09-17 03:08:37"
kelihatannya,308,"2021-09-17 03:08:41","2021-09-17 03:08:41"
kelima,309,"2021-09-17 03:08:43","2021-09-17 03:08:43"
keluar,310,"2021-09-17 03:08:45","2021-09-17 03:08:45"
kembali,311,"2021-09-17 03:08:47","2021-09-17 03:08:47"
kemudian,312,"2021-09-17 03:08:55","2021-09-17 03:08:55"
kemungkinan,313,"2021-09-17 03:08:58","2021-09-17 03:08:58"
kemungkinannya,314,"2021-09-17 03:09:03","2021-09-17 03:09:03"
kenapa,315,"2021-09-17 03:09:06","2021-09-17 03:09:06"
kepada,316,"2021-09-17 03:09:11","2021-09-17 03:09:11"
kepadanya,317,"2021-09-17 03:09:23","2021-09-17 03:09:23"
kesampaian,318,"2021-09-17 03:09:28","2021-09-17 03:09:28"
keseluruhan,319,"2021-09-17 03:09:33","2021-09-17 03:09:33"
keseluruhannya,320,"2021-09-17 03:09:40","2021-09-17 03:09:40"
keterlaluan,321,"2021-09-17 03:09:43","2021-09-17 03:09:43"
ketika,322,"2021-09-17 03:09:46","2021-09-17 03:09:46"
khususnya,323,"2021-09-17 03:09:49","2021-09-17 03:09:49"
kini,324,"2021-09-17 03:09:50","2021-09-17 03:09:50"
kinilah,325,"2021-09-17 03:09:54","2021-09-17 03:09:54"
kira,326,"2021-09-17 03:09:55","2021-09-17 03:09:55"
kira-kira,327,"2021-09-17 03:09:59","2021-09-17 03:09:59"
kiranya,328,"2021-09-17 03:10:03","2021-09-17 03:10:03"
kita,329,"2021-09-17 03:10:05","2021-09-17 03:10:05"
kitalah,330,"2021-09-17 03:10:07","2021-09-17 03:10:07"
ok,331,"2021-09-17 03:10:09","2021-09-17 03:10:09"
kurang,332,"2021-09-17 03:10:10","2021-09-17 03:10:10"
lagi,333,"2021-09-17 03:10:12","2021-09-17 03:10:12"
lagian,334,"2021-09-17 03:10:14","2021-09-17 03:10:14"
lah,335,"2021-09-17 03:10:16","2021-09-17 03:10:16"
lain,336,"2021-09-17 03:10:19","2021-09-17 03:10:19"
lainnya,337,"2021-09-17 03:10:21","2021-09-17 03:10:21"
lalu,338,"2021-09-17 03:10:22","2021-09-17 03:10:22"
lama,339,"2021-09-17 03:10:25","2021-09-17 03:10:25"
lamanya,340,"2021-09-17 03:10:27","2021-09-17 03:10:27"
lanjut,341,"2021-09-17 03:10:29","2021-09-17 03:10:29"
lanjutnya,342,"2021-09-17 03:10:32","2021-09-17 03:10:32"
lebih,343,"2021-09-17 03:10:34","2021-09-17 03:10:34"
lewat,344,"2021-09-17 03:10:37","2021-09-17 03:10:37"
lima,345,"2021-09-17 03:10:40","2021-09-17 03:10:40"
luar,346,"2021-09-17 03:10:42","2021-09-17 03:10:42"
macam,347,"2021-09-17 03:10:44","2021-09-17 03:10:44"
makan,348,"2021-09-17 03:10:47","2021-09-17 03:10:47"
makanya,349,"2021-09-17 03:10:50","2021-09-17 03:10:50"
makin,350,"2021-09-17 03:10:52","2021-09-17 03:10:52"
malah,351,"2021-09-17 03:10:53","2021-09-17 03:10:53"
malahan,352,"2021-09-17 03:10:55","2021-09-17 03:10:55"
mampu,353,"2021-09-17 03:10:57","2021-09-17 03:10:57"
mampukah,354,"2021-09-17 03:11:00","2021-09-17 03:11:00"
mana,355,"2021-09-17 03:11:02","2021-09-17 03:11:02"
manakala,356,"2021-09-17 03:11:05","2021-09-17 03:11:05"
manalagi,357,"2021-09-17 03:11:07","2021-09-17 03:11:07"
masa,358,"2021-09-17 03:11:56","2021-09-17 03:11:56"
masalah,359,"2021-09-17 03:11:58","2021-09-17 03:11:58"
masalahnya,360,"2021-09-17 03:12:03","2021-09-17 03:12:03"
masih,361,"2021-09-17 03:12:05","2021-09-17 03:12:05"
masihkah,362,"2021-09-17 03:12:10","2021-09-17 03:12:10"
masing,363,"2021-09-17 03:12:11","2021-09-17 03:12:11"
masing-masing,364,"2021-09-17 03:12:15","2021-09-17 03:12:15"
mau,365,"2021-09-17 03:12:16","2021-09-17 03:12:16"
maupun,366,"2021-09-17 03:12:19","2021-09-17 03:12:19"
melainkan,367,"2021-09-17 03:12:22","2021-09-17 03:12:22"
melakukan,368,"2021-09-17 03:12:23","2021-09-17 03:12:23"
melalui,369,"2021-09-17 03:12:26","2021-09-17 03:12:26"
melihat,370,"2021-09-17 03:12:28","2021-09-17 03:12:28"
melihatnya,371,"2021-09-17 03:12:31","2021-09-17 03:12:31"
memang,372,"2021-09-17 03:12:34","2021-09-17 03:12:34"
memastikan,373,"2021-09-17 03:12:38","2021-09-17 03:12:38"
memberi,374,"2021-09-17 03:12:40","2021-09-17 03:12:40"
memberikan,375,"2021-09-17 03:12:42","2021-09-17 03:12:42"
membuat,376,"2021-09-17 03:12:44","2021-09-17 03:12:44"
memerlukan,377,"2021-09-17 03:12:48","2021-09-17 03:12:48"
memihak,378,"2021-09-17 03:12:51","2021-09-17 03:12:51"
meminta,379,"2021-09-17 03:12:53","2021-09-17 03:12:53"
memintakan,380,"2021-09-17 03:12:58","2021-09-17 03:12:58"
memisalkan,381,"2021-09-17 03:13:03","2021-09-17 03:13:03"
memperbuat,382,"2021-09-17 03:13:06","2021-09-17 03:13:06"
mempergunakan,383,"2021-09-17 03:13:11","2021-09-17 03:13:11"
memperkirakan,384,"2021-09-17 03:13:14","2021-09-17 03:13:14"
memperlihatkan,385,"2021-09-17 03:13:18","2021-09-17 03:13:18"
mempersiapkan,386,"2021-09-17 03:13:20","2021-09-17 03:13:20"
mempersoalkan,387,"2021-09-17 03:13:23","2021-09-17 03:13:23"
mempertanyakan,388,"2021-09-17 03:13:27","2021-09-17 03:13:27"
mempunyai,389,"2021-09-17 03:13:33","2021-09-17 03:13:33"
memulai,390,"2021-09-17 03:13:35","2021-09-17 03:13:35"
memungkinkan,391,"2021-09-17 03:13:46","2021-09-17 03:13:46"
menaiki,392,"2021-09-17 03:13:49","2021-09-17 03:13:49"
menambahkan,393,"2021-09-17 03:13:57","2021-09-17 03:13:57"
menandaskan,394,"2021-09-17 03:14:02","2021-09-17 03:14:02"
menanti,395,"2021-09-17 03:14:04","2021-09-17 03:14:04"
menanti-nanti,396,"2021-09-17 03:14:08","2021-09-17 03:14:08"
menantikan,397,"2021-09-17 03:14:11","2021-09-17 03:14:11"
menanya,398,"2021-09-17 03:14:16","2021-09-17 03:14:16"
menanyai,399,"2021-09-17 03:15:21","2021-09-17 03:15:21"
menanyakan,400,"2021-09-17 03:15:25","2021-09-17 03:15:25"
